"ID","YouTube Channel Name","YouTube_Channel_Link"
"0","Kunaal Naik","https://www.youtube.com/KunaalNaik"
"1","The Data Science Show","https://www.youtube.com/channel/UCLSFrH7H3Memua6CV7bdVcQ"
"2","Data School","https://www.youtube.com/channel/UCnVzApLJE2ljPZSeQylSEyg"
"3","Data Science Tutorials","https://www.youtube.com/channel/UCk5tiFqPvdjsl7yT4mmokmg"
"4","Bhavesh Bhatt","https://www.youtube.com/channel/UC8ofcOdHNINiPrBA9D59Vaw"
"5","Jalayer Academy","https://www.youtube.com/channel/UCTprjveyeUA-pn6b7KbGhmQ"
"6","Krish Naik","https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig"
"7","Artificial Intelligence - All in One","https://www.youtube.com/channel/UC5zx8Owijmv-bbhAK6Z9apg"
"8","Noureddin Sadawi","https://www.youtube.com/user/DrNoureddinSadawi/videos"
"9","3Blue1Brown","https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw"
"10","Machine Learning TV","https://www.youtube.com/channel/UChIaUcs3tho6XhyU6K6KMrw"
"11","sentdex","https://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ"
"12","Tech With Tim","https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg"
"13","Engineer Man","https://www.youtube.com/channel/UCrUL8K81R4VBzm-KOYwrcxQ"
"14","Code Bullet","https://www.youtube.com/channel/UC0e3QhIYukixgh5VVpKHH9Q"
"15","DataScience.LA","https://www.youtube.com/channel/UCJ4D3tL-iEWyJJDXJAsd9Mw"
"16","Kaggler TV","https://www.youtube.com/channel/UCI8Y-po83Y4LLnIdAe_cmNA"
"17","EuroPython Conference","https://www.youtube.com/channel/UC98CzaYuFNAA_gOINFB0e4Q"
"18","Deeplearning.ai","https://www.youtube.com/channel/UCcIXc5mJsHVYTZR1maL5l9w"
"19","Keith Galli","https://www.youtube.com/channel/UCq6XkhO5SZ66N04IcPbqNcw"
"20","hasGeek TV","https://www.youtube.com/channel/UCDHao9FxNRHw1VyLuGXI_rA"
"21","Abhishek Thakur","https://www.youtube.com/channel/UCBPRJjIWfyNG4X-CRbnv78A"
"22","Corey Schafer","https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g"
"23","how2stats","https://www.youtube.com/channel/UCr3OHuCSrwAO2KYP2CJB6zg"
"24","Kaggle","https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA"
"25","Simplilearn","https://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg"
"26","edureka!","https://www.youtube.com/user/edurekaIN"
"27","365 Data Science","https://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg"
